"Info.1","Determination.start","Bromide Concentration","Bromide DL","Bromide STD","Chloride Concentration","Chloride DL","Chloride STD","Fluoride Concentration","Fluoride DL","Fluoride STD","Nitrate Concentration","Nitrate DL","Nitrate STD","Nitrite Concentration","Nitrite DL","Nitrite STD","Phosphate Concentration","Phosphate DL","Phosphate STD","Sulfate Concentration","Sulfate DL","Sulfate STD"
"24","2025-08-08 02:52:35 UTC-6",NA,0.00928558661534523,NA,0.611,0.00600883942089478,0.00175000000000003,0.052,0.00326668544964679,0.002,0.103,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.405,0.00557790804279323,0.00325
"25","2025-08-08 03:14:09 UTC-6",NA,0.00928558661534523,NA,1.353,0.00600883942089478,0.00175000000000003,0.06,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.366,0.00557790804279323,0.00325
"27","2025-08-08 03:35:42 UTC-6",NA,0.00928558661534523,NA,0.377,0.00600883942089478,0.00175000000000003,0.061,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.035,0.00437943668979025,0.000666666666666667,0.365,0.00557790804279323,0.00325
"28","2025-08-08 03:57:15 UTC-6",NA,0.00928558661534523,NA,0.46,0.00600883942089478,0.00175000000000003,0.062,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.302,0.00557790804279323,0.00325
"29","2025-08-08 04:18:48 UTC-6",NA,0.00928558661534523,NA,1.132,0.00600883942089478,0.00175000000000003,0.07,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.365,0.00557790804279323,0.00325
"30","2025-08-08 04:40:20 UTC-6",NA,0.00928558661534523,NA,0.755,0.00600883942089478,0.00175000000000003,0.114,0.00326668544964679,0.002,0.255,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.129,0.00437943668979025,0.000666666666666667,0.613,0.00557790804279323,0.00325
"32","2025-08-08 05:01:53 UTC-6",NA,0.00928558661534523,NA,0.708,0.00600883942089478,0.00175000000000003,0.173,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.055,0.00437943668979025,0.000666666666666667,0.827,0.00557790804279323,0.00325
"32","2025-08-08 05:23:25 UTC-6",NA,0.00928558661534523,NA,0.709,0.00600883942089478,0.00175000000000003,0.176,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.056,0.00437943668979025,0.000666666666666667,0.822,0.00557790804279323,0.00325
"33","2025-08-08 05:44:57 UTC-6",NA,0.00928558661534523,NA,0.799,0.00600883942089478,0.00175000000000003,0.093,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.048,0.00437943668979025,0.000666666666666667,0.459,0.00557790804279323,0.00325
"34","2025-08-08 06:27:58 UTC-6",NA,0.00928558661534523,NA,0.495,0.00600883942089478,0.00175000000000003,0.067,0.00326668544964679,0.002,0.022,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.376,0.00557790804279323,0.00325
"35","2025-08-08 06:49:30 UTC-6",NA,0.00928558661534523,NA,0.406,0.00600883942089478,0.00175000000000003,0.067,0.00326668544964679,0.002,0.026,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.335,0.00557790804279323,0.00325
"36","2025-08-08 07:11:01 UTC-6",NA,0.00928558661534523,NA,0.691,0.00600883942089478,0.00175000000000003,0.076,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.051,0.00437943668979025,0.000666666666666667,0.571,0.00557790804279323,0.00325
"37","2025-08-08 07:32:32 UTC-6",NA,0.00928558661534523,NA,1.52,0.00600883942089478,0.00175000000000003,0.074,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.036,0.00437943668979025,0.000666666666666667,0.181,0.00557790804279323,0.00325
"38","2025-08-08 07:54:03 UTC-6",NA,0.00928558661534523,NA,0.83,0.00600883942089478,0.00175000000000003,0.102,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.052,0.00437943668979025,0.000666666666666667,0.437,0.00557790804279323,0.00325
